      Date & Time,  Trans,  Elap Time,  Data Trans,  Resp Time,  Trans Rate,  Throughput,  Concurrent,    OKAY,   Failed
2017-06-08 10:56:43,      0,      28.51,           0,        nan,        0.00,        0.00,        0.00,       0,     139
2017-06-08 10:57:21,    295,      12.11,           0,       0.00,       24.35,        0.00,        0.06,     295,       2
2017-06-08 10:58:49,   6143,       2.69,           0,       0.00,     2281.95,        0.00,        2.19,    6172,       0
2017-06-08 11:00:50,   8205,       7.24,           0,       0.00,     1133.91,        0.00,        5.34,    8235,       0
2017-06-08 11:01:12,   5083,       2.50,           0,       0.00,     2032.39,        0.00,        2.98,    5141,     164
2017-06-08 11:01:51,   2645,       1.17,           0,       0.00,     2251.06,        0.00,        2.54,    2705,      43
2017-06-08 11:02:01,  14891,       5.93,           0,       0.00,     2511.98,        0.00,        1.71,   14948,       0
2017-06-08 11:02:09,   1317,       0.78,           0,       0.00,     1684.14,        0.00,        2.92,    1372,       0
2017-06-08 11:02:56,  62684,      24.40,           1,       0.00,     2568.81,        0.04,        2.81,   62742,       0
2017-06-08 11:03:39,  52350,      20.44,           1,       0.00,     2561.66,        0.05,        1.84,   52407,       0
2017-06-08 11:19:42,  17845,       7.21,           0,       0.00,     2474.35,        0.00,        1.84,   17902,       0
2017-06-08 11:24:01,  16092,       8.14,           0,       0.00,     1975.93,        0.00,        2.13,   16092,    1055
2017-06-08 11:24:13,     13,       0.87,           0,       0.01,       14.91,        0.00,        0.14,      13,    1039
2017-06-08 11:24:32,      8,       0.89,           0,       0.02,        8.99,        0.00,        0.15,       8,    1039
